index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.5257731958762887,0.054352939257292635,LogisticRegression,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.032879899020761966,0.054352939257292635,LogisticRegression,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.46930946291560105,0.054352939257292635,LogisticRegression,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.5514695450745549,0.054352939257292635,LogisticRegression,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.054352939257292635,0.054352939257292635,LogisticRegression,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.5257731958762887,3.127091302804063,RandomForestClassifier,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.051085609989439396,3.127091302804063,RandomForestClassifier,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.5805626598465473,3.127091302804063,RandomForestClassifier,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.592716377983794,3.127091302804063,RandomForestClassifier,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,3.127091302804063,3.127091302804063,RandomForestClassifier,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.5051546391752577,0.0015315403297697146,KNeighborsClassifier,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.0012971488869402367,0.0015315403297697146,KNeighborsClassifier,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.5479539641943734,0.0015315403297697146,KNeighborsClassifier,1,['NM_005810'],[1],dssa,0,148.23962080699857,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
