index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.6111111111111112,0.04871023470898055,LogisticRegression,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,-0.15207476616811838,0.04871023470898055,LogisticRegression,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
AUC,0.508936170212766,0.04871023470898055,LogisticRegression,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
PR-AUC,0.3471172727250616,0.04871023470898055,LogisticRegression,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
infrence_time,0.04871023470898055,0.04871023470898055,LogisticRegression,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
accuracy,0.4583333333333333,3.772486625278058,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,-0.2062842492517587,3.772486625278058,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
AUC,0.38553191489361704,3.772486625278058,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2910145159382073,3.772486625278058,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
infrence_time,3.772486625278058,3.772486625278058,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
accuracy,0.625,0.0016904532353186773,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,0.1338832087466089,0.0016904532353186773,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
AUC,0.5502127659574468,0.0016904532353186773,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
PR-AUC,0.39528697667680723,0.0016904532353186773,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
infrence_time,0.0016904532353186773,0.0016904532353186773,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
accuracy,0.6388888888888888,0.0009795374725298542,GaussianNB,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,-0.08655494824115181,0.0009795374725298542,GaussianNB,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
AUC,0.4612765957446809,0.0009795374725298542,GaussianNB,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
PR-AUC,0.31578729221663643,0.0009795374725298542,GaussianNB,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
infrence_time,0.0009795374725298542,0.0009795374725298542,GaussianNB,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
accuracy,0.6527777777777778,0.0034490585692563197,SVC,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,0.0,0.0034490585692563197,SVC,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
AUC,0.3719148936170213,0.0034490585692563197,SVC,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2822669712209621,0.0034490585692563197,SVC,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
infrence_time,0.0034490585692563197,0.0034490585692563197,SVC,1,['X86816_at'],[1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
accuracy,0.6388888888888888,0.05491303244586258,LogisticRegression,2,"['X15822_at', 'X86816_at']",[1 1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,-0.08655494824115181,0.05491303244586258,LogisticRegression,2,"['X15822_at', 'X86816_at']",[1 1],dssa,0,49.97439112805296,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
