index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.6451612903225806,0.08653291356900046,LogisticRegression,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,0.0,0.08653291356900046,LogisticRegression,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.4488636363636364,0.08653291356900046,LogisticRegression,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.6117533444168749,0.08653291356900046,LogisticRegression,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,0.08653291356900046,0.08653291356900046,LogisticRegression,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.41935483870967744,3.6794067832130577,RandomForestClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,-0.24334237273197232,3.6794067832130577,RandomForestClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.34431818181818186,3.6794067832130577,RandomForestClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.5930445744471544,3.6794067832130577,RandomForestClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,3.6794067832130577,3.6794067832130577,RandomForestClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.5645161290322581,0.0014767745930340983,KNeighborsClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,-0.1142171170972314,0.0014767745930340983,KNeighborsClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.3943181818181818,0.0014767745930340983,KNeighborsClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.6299781903022925,0.0014767745930340983,KNeighborsClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,0.0014767745930340983,0.0014767745930340983,KNeighborsClassifier,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.6290322580645161,0.0013872459530830383,GaussianNB,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,-0.09495469152507922,0.0013872459530830383,GaussianNB,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.38181818181818183,0.0013872459530830383,GaussianNB,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.5543748198280193,0.0013872459530830383,GaussianNB,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,0.0013872459530830383,0.0013872459530830383,GaussianNB,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.6451612903225806,0.002777403881472926,SVC,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,0.0,0.002777403881472926,SVC,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.2931818181818182,0.002777403881472926,SVC,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.5654828376038463,0.002777403881472926,SVC,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,0.002777403881472926,0.002777403881472926,SVC,1,['262'],[1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.6290322580645161,0.09302935370754811,LogisticRegression,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,-0.09495469152507922,0.09302935370754811,LogisticRegression,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.3977272727272727,0.09302935370754811,LogisticRegression,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.5736193890231829,0.09302935370754811,LogisticRegression,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,0.09302935370754811,0.09302935370754811,LogisticRegression,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.5967741935483871,3.6592838329172905,RandomForestClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,0.07312724241271307,3.6592838329172905,RandomForestClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.3903409090909091,3.6592838329172905,RandomForestClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.5774038899060697,3.6592838329172905,RandomForestClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,3.6592838329172905,3.6592838329172905,RandomForestClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.5806451612903226,0.004895617644633016,KNeighborsClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,-0.022019275302527213,0.004895617644633016,KNeighborsClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.40624999999999994,0.004895617644633016,KNeighborsClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.6054716248506572,0.004895617644633016,KNeighborsClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,0.004895617644633016,0.004895617644633016,KNeighborsClassifier,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.5645161290322581,0.002393129011315684,GaussianNB,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,-0.2196488425534897,0.002393129011315684,GaussianNB,2,"['1328', '262']",[1 1],dssa,0,31.94998013973236,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
