index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.09722222222222222,8.499204284614988e-05,LogisticRegression,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11719675378576005,8.499204284614988e-05,LogisticRegression,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6268211399447694,8.499204284614988e-05,LogisticRegression,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.12916887107335487,8.499204284614988e-05,LogisticRegression,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,8.499204284614988e-05,8.499204284614988e-05,LogisticRegression,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09722222222222222,2.210682982371913e-06,LogisticRegression,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11545001217261097,2.210682982371913e-06,LogisticRegression,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6267329383934374,2.210682982371913e-06,LogisticRegression,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.12898484105732033,2.210682982371913e-06,LogisticRegression,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.210682982371913e-06,2.210682982371913e-06,LogisticRegression,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09722222222222222,0.00012647583563294676,LogisticRegression,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11719675378576005,0.00012647583563294676,LogisticRegression,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6268211399447693,0.00012647583563294676,LogisticRegression,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.1231187897367539,0.00012647583563294676,LogisticRegression,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,0.00012647583563294676,0.00012647583563294676,LogisticRegression,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09722222222222222,3.597210290738278e-05,LogisticRegression,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11523433572871254,3.597210290738278e-05,LogisticRegression,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6266006360664393,3.597210290738278e-05,LogisticRegression,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.11290465656945102,3.597210290738278e-05,LogisticRegression,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,3.597210290738278e-05,3.597210290738278e-05,LogisticRegression,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09722222222222222,3.0318060372438697e-05,LogisticRegression,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11904160500909979,3.0318060372438697e-05,LogisticRegression,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6239187378167643,3.0318060372438697e-05,LogisticRegression,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.1222872583043277,3.0318060372438697e-05,LogisticRegression,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,3.0318060372438697e-05,3.0318060372438697e-05,LogisticRegression,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.13194444444444445,0.00024423359168900384,RandomForestClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.19789055452878862,0.00024423359168900384,RandomForestClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6239009705977907,0.00024423359168900384,RandomForestClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.1443683234141352,0.00024423359168900384,RandomForestClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,0.00024423359168900384,0.00024423359168900384,RandomForestClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.1284722222222222,0.00014160287100821732,RandomForestClassifier,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.18656712627645392,0.00014160287100821732,RandomForestClassifier,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6292527107699805,0.00014160287100821732,RandomForestClassifier,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
