index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.6333333333333333,0.08587160067011913,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.09553254290337612,0.08587160067011913,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.3321123321123321,0.08587160067011913,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2809834067275112,0.08587160067011913,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.08587160067011913,0.08587160067011913,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5166666666666667,4.6018648453677695,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.050757964866842614,4.6018648453677695,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4981684981684982,4.6018648453677695,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.37265006106706633,4.6018648453677695,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,4.6018648453677695,4.6018648453677695,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.65,0.011924393847584725,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.15724272550828775,0.011924393847584725,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4914529914529915,0.011924393847584725,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.39035087719298245,0.011924393847584725,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.011924393847584725,0.011924393847584725,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.65,0.004562197004755338,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.0,0.004562197004755338,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.2417582417582418,0.004562197004755338,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2510433929627752,0.004562197004755338,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.004562197004755338,0.004562197004755338,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.65,0.007573502448697885,SVC,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.0,0.007573502448697885,SVC,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.17826617826617824,0.007573502448697885,SVC,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.23318489638642018,0.007573502448697885,SVC,1,['Z78285_f_at'],[1],dssa,0,109.0892416536808,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
