index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.6111111111111112,0.03070296228138937,LogisticRegression,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,-0.15207476616811838,0.03070296228138937,LogisticRegression,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
AUC,0.508936170212766,0.03070296228138937,LogisticRegression,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
PR-AUC,0.3471172727250616,0.03070296228138937,LogisticRegression,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
infrence_time,0.03070296228138937,0.03070296228138937,LogisticRegression,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
accuracy,0.4444444444444444,2.5478160359068878,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,-0.225531914893617,2.5478160359068878,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
AUC,0.38,2.5478160359068878,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2923955554093315,2.5478160359068878,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
infrence_time,2.5478160359068878,2.5478160359068878,RandomForestClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
accuracy,0.625,0.001445488849033912,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,0.1338832087466089,0.001445488849033912,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
AUC,0.5502127659574468,0.001445488849033912,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
PR-AUC,0.39528697667680723,0.001445488849033912,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
infrence_time,0.001445488849033912,0.001445488849033912,KNeighborsClassifier,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
accuracy,0.6388888888888888,0.0011198803937683504,GaussianNB,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
MCC,-0.08655494824115181,0.0011198803937683504,GaussianNB,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
AUC,0.4612765957446809,0.0011198803937683504,GaussianNB,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
PR-AUC,0.31578729221663643,0.0011198803937683504,GaussianNB,1,['X86816_at'],[1],dssa,0,70.52770945802331,ARFF_Leukemia,72,7129,StratifiedKFold n_splits = 5
