index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.6451612903225806,0.060900585665818185,LogisticRegression,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,0.0,0.060900585665818185,LogisticRegression,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.4284090909090909,0.060900585665818185,LogisticRegression,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.6140443984754566,0.060900585665818185,LogisticRegression,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,0.060900585665818185,0.060900585665818185,LogisticRegression,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.4838709677419355,3.389036476552006,RandomForestClassifier,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,-0.12727272727272726,3.389036476552006,RandomForestClassifier,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
AUC,0.3846590909090909,3.389036476552006,RandomForestClassifier,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
PR-AUC,0.5871742417451675,3.389036476552006,RandomForestClassifier,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
infrence_time,3.389036476552006,3.389036476552006,RandomForestClassifier,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
accuracy,0.43548387096774194,0.001299087378767229,KNeighborsClassifier,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
MCC,-0.38199262734631245,0.001299087378767229,KNeighborsClassifier,1,['999'],[1],dssa,0,55.84808365628123,datamicroarray_alon,62,2000,StratifiedKFold n_splits = 5
