index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.19444444444444445,2.6521968700560846e-05,LogisticRegression,1,['511'],[1],dssa,0,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.17326425962873732,2.6521968700560846e-05,LogisticRegression,1,['511'],[1],dssa,0,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.9297871233349578,2.6521968700560846e-05,LogisticRegression,1,['511'],[1],dssa,0,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.3811939222636493,2.6521968700560846e-05,LogisticRegression,1,['511'],[1],dssa,0,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.6521968700560846e-05,2.6521968700560846e-05,LogisticRegression,1,['511'],[1],dssa,0,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.1388888888888889,7.535502825501479e-06,LogisticRegression,1,['511'],[1],dssa,1,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.10164923377118333,7.535502825501479e-06,LogisticRegression,1,['511'],[1],dssa,1,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.9250039341699156,7.535502825501479e-06,LogisticRegression,1,['511'],[1],dssa,1,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.3947598657413782,7.535502825501479e-06,LogisticRegression,1,['511'],[1],dssa,1,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,7.535502825501479e-06,7.535502825501479e-06,LogisticRegression,1,['511'],[1],dssa,1,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.17708333333333334,2.776652561604149e-07,LogisticRegression,1,['511'],[1],dssa,2,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.15252159714569902,2.776652561604149e-07,LogisticRegression,1,['511'],[1],dssa,2,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.9295206150503573,2.776652561604149e-07,LogisticRegression,1,['511'],[1],dssa,2,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.39248584312346013,2.776652561604149e-07,LogisticRegression,1,['511'],[1],dssa,2,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.776652561604149e-07,2.776652561604149e-07,LogisticRegression,1,['511'],[1],dssa,2,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.12152777777777778,2.903033358355363e-06,LogisticRegression,1,['511'],[1],dssa,3,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.0823996928277227,2.903033358355363e-06,LogisticRegression,1,['511'],[1],dssa,3,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.9248522782651072,2.903033358355363e-06,LogisticRegression,1,['511'],[1],dssa,3,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.39045219426968425,2.903033358355363e-06,LogisticRegression,1,['511'],[1],dssa,3,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.903033358355363e-06,2.903033358355363e-06,LogisticRegression,1,['511'],[1],dssa,3,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.16666666666666666,1.0089424095996138e-06,LogisticRegression,1,['511'],[1],dssa,4,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.1395801941997886,1.0089424095996138e-06,LogisticRegression,1,['511'],[1],dssa,4,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.9328627558479532,1.0089424095996138e-06,LogisticRegression,1,['511'],[1],dssa,4,236.60519845597446,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
